STATE,T_BREAK,T_CASE,T_CHAN,T_CONST,T_CONTINUE,T_DEFER,T_DEFAULT,T_ELSE,T_FALLTHROUGH,T_FOR,T_FUNC,T_GO,T_GOTO,T_IDENT,T_IF,T_IMPORT,T_INT_R,T_INTERFACE,T_MAP,T_PACKAGE,T_RANGE,T_RETURN,T_SELECT,T_STRUCT,T_SWITCH,T_TYPE,T_VAR,T_SUB,T_INT_V,T_FLOAT_V,T_STRING_V,T_GREATER_THAN,T_GREATER_GREATER,T_GREATER_GREATER_EQ,T_GREATER_EQ,T_LESS_THAN,T_LESS_LESS,T_LESS_LESS_EQ,T_LESS_EQ,T_PLUS,T_PLUS_PLUS,T_PLUS_EQ,T_SUB_SUB,T_SUB_EQ,T_MULT,T_MULT_EQ,T_DIV,T_DIV_EQ,T_MOD,T_MOD_EQ,T_AND,T_AND_AND,T_AND_EQ,T_OR,T_OR_OR,T_OR_EQ,T_EQ,T_EQ_EQ,T_COLON,T_COLON_EQ,T_NOT,T_NOT_EQ,T_BKT_LEFT,T_BKT_RIGHT,T_SBKT_LEFT,T_SBKT_RIGHT,T_CBKT_LEFT,T_CBKT_RIGHT,T_COMMA,T_SEMICOLON,T_DOT,T_BOOL_R,T_BYTE_R,T_FLOAT32_R,T_FLOAT64_R,T_INT8_R,T_INT16_R,T_INT32_R,T_INT64_R,T_RUNE_R,T_STRING_R,T_BOOL_V,DOLLAR
0,-1,1002,-1,-1,-1,26,1002,-1,-1,28,24,27,-1,20,22,15,-1,-1,-1,16,-1,25,-1,-1,23,18,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1002
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1000
2,-1,1002,-1,-1,-1,26,1002,-1,-1,28,24,27,-1,20,22,15,-1,-1,-1,16,-1,25,-1,-1,23,18,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1002
3,-1,1003,-1,-1,-1,1003,1003,-1,-1,1003,1003,1003,-1,1003,1003,1003,-1,-1,-1,1003,-1,1003,-1,-1,1003,1003,1003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1003
4,-1,1004,-1,-1,-1,1004,1004,-1,-1,1004,1004,1004,-1,1004,1004,1004,-1,-1,-1,1004,-1,1004,-1,-1,1004,1004,1004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1004
5,-1,1005,-1,-1,-1,1005,1005,-1,-1,1005,1005,1005,-1,1005,1005,1005,-1,-1,-1,1005,-1,1005,-1,-1,1005,1005,1005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1005
6,-1,1006,-1,-1,-1,1006,1006,-1,-1,1006,1006,1006,-1,1006,1006,1006,-1,-1,-1,1006,-1,1006,-1,-1,1006,1006,1006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1006
7,-1,1007,-1,-1,-1,1007,1007,-1,-1,1007,1007,1007,-1,1007,1007,1007,-1,-1,-1,1007,-1,1007,-1,-1,1007,1007,1007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1007
8,-1,1008,-1,-1,-1,1008,1008,-1,-1,1008,1008,1008,-1,1008,1008,1008,-1,-1,-1,1008,-1,1008,-1,-1,1008,1008,1008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1008
9,-1,1009,-1,-1,-1,1009,1009,-1,-1,1009,1009,1009,-1,1009,1009,1009,-1,-1,-1,1009,-1,1009,-1,-1,1009,1009,1009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1009
10,-1,1010,-1,-1,-1,1010,1010,-1,-1,1010,1010,1010,-1,1010,1010,1010,-1,-1,-1,1010,-1,1010,-1,-1,1010,1010,1010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1010
